name,occurrence,definition_count,line,end_line,kind,active
v44_plot_figure_5,1,1,9602,9727,FunctionDef,True
v44_plot_external_domain_overlap_si,1,1,9730,9769,FunctionDef,True
v44_plot_si_figures,1,1,9772,9813,FunctionDef,True
v44_write_manifest,1,1,9816,9826,FunctionDef,True
v44_write_run_report,1,1,9829,9879,FunctionDef,True
plot_figure_1_framework,5,7,9883,9885,FunctionDef,False
plot_figure_2_performance,6,8,9888,9889,FunctionDef,False
plot_figure_3_calibration,6,8,9892,9893,FunctionDef,False
plot_figure_4_failure_anatomy,7,9,9896,9898,FunctionDef,False
plot_figure_5_external_realism,7,9,9901,9903,FunctionDef,False
plot_si_figures,6,8,9906,9908,FunctionDef,False
write_run_report,6,8,9911,9912,FunctionDef,False
v47_apply_style,1,1,9948,9975,FunctionDef,True
v47_panel,1,1,9978,9979,FunctionDef,True
v47_save,1,1,9982,9992,FunctionDef,True
v47_source,1,1,9995,10000,FunctionDef,True
v47_table,1,1,10003,10008,FunctionDef,True
v47_latex_label,1,1,10011,10012,FunctionDef,True
v47_plain_label,1,1,10015,10016,FunctionDef,True
v47_target_order,1,1,10019,10025,FunctionDef,True
v47_target_stats,1,1,10028,10071,FunctionDef,True
v47_filter_agg,1,1,10074,10092,FunctionDef,True
v47_metric_by_target_budget,1,1,10095,10107,FunctionDef,True
v47_draw_target_curves,1,1,10110,10131,FunctionDef,True
v47_plot_figure_1,1,1,10134,10191,FunctionDef,True
v47_plot_figure_2,1,1,10194,10282,FunctionDef,True
v47_descriptor_gain_table,1,1,10285,10302,FunctionDef,True
v47_split_recall_table,1,1,10305,10313,FunctionDef,True
v47_plot_figure_3,1,1,10316,10424,FunctionDef,True
v47_precision_yield,1,1,10427,10468,FunctionDef,True
v47_tier_fraction_by_budget,1,1,10471,10496,FunctionDef,True
v47_plot_figure_4,1,1,10499,10607,FunctionDef,True
v47_top25,1,1,10610,10619,FunctionDef,True
v47_true_enrichment,1,1,10622,10653,FunctionDef,True
v47_candidate_funnel,1,1,10656,10677,FunctionDef,True
v47_plot_figure_5,1,1,10680,10792,FunctionDef,True
v47_external_overlap_summary,1,1,10795,10819,FunctionDef,True
v47_plot_external_si,1,1,10822,10849,FunctionDef,True
v47_plot_si_figures,1,1,10852,10901,FunctionDef,True
v47_write_publication_tables,1,1,10904,10963,FunctionDef,True
v47_dataframe_to_markdown_safe,1,1,10967,11006,FunctionDef,True
v47_write_run_report,1,1,11008,11047,FunctionDef,True
plot_figure_1_framework,6,7,11052,11054,FunctionDef,False
plot_figure_2_performance,7,8,11057,11058,FunctionDef,False
plot_figure_3_calibration,7,8,11061,11062,FunctionDef,False
plot_figure_4_failure_anatomy,8,9,11065,11067,FunctionDef,False
plot_figure_5_external_realism,8,9,11070,11072,FunctionDef,False
plot_si_figures,7,8,11075,11077,FunctionDef,False
write_run_report,7,8,11080,11081,FunctionDef,False
v48_prepare_clean_publication_dirs,1,1,11117,11121,FunctionDef,True
v48_apply_style,1,1,11124,11157,FunctionDef,True
v48_panel,1,1,11160,11162,FunctionDef,True
v48_stem,1,1,11165,11171,FunctionDef,True
v48_save,1,1,11174,11187,FunctionDef,True
v48_source,1,1,11190,11195,FunctionDef,True
v48_table,1,1,11198,11203,FunctionDef,True
v48_write_folder_index,1,1,11206,11228,FunctionDef,True
v48_write_package_readme,1,1,11231,11246,FunctionDef,True
v48_copy_key_support_files,1,1,11249,11263,FunctionDef,True
v48_write_publication_tables,1,1,11266,11337,FunctionDef,True
v48_write_run_report,1,1,11340,11381,FunctionDef,True
v48_plot_figure_1,1,1,11396,11466,FunctionDef,True
v48_plot_figure_2,1,1,11469,11470,FunctionDef,True
v48_plot_figure_3,1,1,11473,11474,FunctionDef,True
v48_plot_figure_4,1,1,11477,11479,FunctionDef,True
v48_plot_figure_5,1,1,11482,11484,FunctionDef,True
v48_plot_si_figures,1,1,11487,11489,FunctionDef,True
plot_figure_1_framework,7,7,11494,11496,FunctionDef,True
plot_figure_2_performance,8,8,11499,11500,FunctionDef,True
plot_figure_3_calibration,8,8,11503,11504,FunctionDef,True
plot_figure_4_failure_anatomy,9,9,11507,11508,FunctionDef,True
plot_figure_5_external_realism,9,9,11511,11512,FunctionDef,True
plot_si_figures,8,8,11515,11516,FunctionDef,True
write_run_report,8,8,11519,11520,FunctionDef,True
