target,mof_id,y_true_median,y_pred_median,y_pred_max,split_lower_median,split_lower_max,split_upper_median,interval_width_median,target_lower_bound_percentile_median,target_pred_percentile_median,target_interval_width_percentile_small_median,n_support_rows,n_models,n_seeds,n_splits,n_feature_sets,n_budgets,trusted_support,Density,Di,Df,Dif,filename,consensus_pass,consensus_score,consensus_score_percentile_within_target,true_percentile,pred_percentile,target_label_plain
CH4_5p8bar_298K_mmolg,DB0-m3_o152_o155_f0_fsc.sym.2,8.744529724121094,7.701595492362976,8.390298,6.389586344985139,7.334321,8.944897462726999,2.432496149999999,0.7121666666666666,0.7945,0.3707166666666667,36,5,5,4,1,4,36,0.754416,8.41367,5.23006,8.41367,DB0-m3_o152_o155_f0_fsc.sym.2.cif,True,49.65705,0.99672828398495,0.9990537973549335,0.9911723594136411,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o153_o156_f0_fsc.sym.28,7.864270210266113,7.6114482,8.146469,6.2681217331069705,6.983833,8.853648546987202,2.4520863347335378,0.5415166666666666,0.7046333333333333,0.3511333333333333,42,5,5,4,2,3,42,0.856308,6.73704,5.22621,6.28763,DB0-m3_o153_o156_f0_fsc.sym.28.cif,True,49.592533333333336,0.9965646981841976,0.9934124224938174,0.9896419483172646,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o1530_o156_f0_fsc.sym.95,8.192103385925293,7.5407468,8.2919445,6.39469555065766,7.2442503,8.7459435,2.37272915,0.7174833333333334,0.6157333333333334,0.50415,32,5,4,5,1,3,32,0.830605,7.24884,5.27109,7.22459,DB0-m3_o1530_o156_f0_fsc.sym.95.cif,True,49.47548333333334,0.9964011123834452,0.9967528045589764,0.9882692376617326,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o520_o156_f0_fsc.sym.5,9.115152359008787,7.602872127951397,8.411343073390944,6.3547599499719,7.188963119317602,8.769087,2.3977906945236134,0.6705333333333333,0.6946333333333333,0.4678666666666666,29,5,5,5,1,3,29,0.790608,6.48925,4.70669,6.48273,DB0-m3_o520_o156_f0_fsc.sym.5.cif,True,49.4714,0.9962375265826926,0.999605748897889,0.989495000179205,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o152_o156_f0_fsc.sym.81,7.8900980949401855,7.559711055755615,7.92228105043736,6.40767783488656,6.87558917240459,8.698874174355518,2.3624135000000006,0.7323666666666667,0.6426,0.5055000000000001,31,5,4,5,1,3,31,0.823211,7.13901,5.2239,7.12424,DB0-m3_o152_o156_f0_fsc.sym.81.cif,True,49.39963333333333,0.99607394078194,0.9937529120820042,0.9887280025805527,CH4 5.8 bar
CH4_65bar_298K_mmolg,DB7-ddmof_22845,45.76158142089844,39.23882105255127,45.77853722381592,37.038586,43.061732307434085,41.402473,4.189877949670645,0.74415,0.7515,0.40125,89,5,5,5,2,6,89,0.104048,32.2817,29.46618,32.2817,DB7-ddmof_22845.cif,True,65.10745,1.0,0.9997634493387334,0.998577111931472,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_23735,46.59375,38.6934545,45.65118071746826,36.37185695861817,42.93437580108643,40.99748726982608,4.227466019092521,0.6418083333333333,0.6539166666666667,0.3722083333333333,90,5,5,5,2,5,90,0.0981103,29.57304,27.44217,29.06963,DB7-ddmof_23735.cif,True,64.31450833333334,0.9996372869060574,0.9998207949535859,0.9983835704813447,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_23766,47.76900863647461,38.862103000000005,47.255867,36.44088757847841,44.696854,41.27457145928955,4.228165141026938,0.6544666666666668,0.685575,0.371525,88,5,5,5,2,5,88,0.0961569,32.10255,28.5944,32.10255,DB7-ddmof_23766.cif,True,63.97840833333333,0.9992745738121146,0.9998745564675101,0.9984337478943407,CH4 65 bar
CH4_65bar_298K_mmolg,DB0-m2_o29_frl,50.738914489746094,38.605548,43.099335,36.23140660377732,41.45638,40.7865085,4.076763021965828,0.6076833333333334,0.6347,0.50185,76,5,5,6,2,5,76,0.0878531,41.09475,38.992,41.09475,DB0-m2_o29_frl.cif,True,62.63271666666666,0.998911860718172,0.999949822587004,0.998336977169277,CH4 65 bar
CH4_65bar_298K_mmolg,DB0-m3_o29_nbo,52.52501678466797,38.95787112688817,48.25537,36.72811369919777,46.08603,41.247191334950976,4.187827289456845,0.7032166666666666,0.7050166666666666,0.4117583333333333,80,5,5,5,2,5,80,0.0836119,47.49601,31.87251,47.48447,DB0-m3_o29_nbo.cif,True,62.44752499999999,0.9985491476242292,0.999974911293502,0.9984588366008387,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_19730,42.392616271972656,38.60103433526612,44.80762,36.29197969623947,42.84159,40.83568105416359,4.167208323242189,0.6217666666666667,0.6309333333333333,0.4409333333333333,78,5,5,5,2,6,78,0.116374,29.91201,25.37008,29.91201,DB7-ddmof_19730.cif,True,61.17693333333334,0.9981864345302864,0.9993727823375507,0.9983333930683488,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_17603,49.56386947631836,38.927824029142606,45.7498,36.847229074987794,43.858017,41.07812324056287,4.349114,0.7186416666666666,0.6984833333333333,0.2915,66,5,5,6,2,6,66,0.093441,39.06912,34.03,38.98313,DB7-ddmof_17603.cif,True,60.9376,0.997823721436344,0.9999354861832909,0.9984516683989821,CH4 65 bar
CH4_65bar_298K_mmolg,DB0-m2_o29_bel,56.39188766479492,38.731103324890135,48.82310760498047,36.30470174217224,46.58145305252076,40.95664604187012,4.150786011695857,0.6288666666666667,0.6604333333333333,0.4591666666666666,73,5,5,5,2,5,73,0.0744258,51.79364,41.75062,51.4717,DB0-m2_o29_bel.cif,True,60.06096666666667,0.9974610083424011,0.9999892476972152,0.9983943227841297,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_17537,42.19678115844727,38.39077418518066,43.039703,36.38091893186265,40.865063,40.45498328876496,3.993416166789856,0.6433666666666666,0.5914333333333334,0.5355666666666667,73,5,4,5,2,4,73,0.12256,37.09256,32.73487,37.09256,DB7-ddmof_17537.cif,True,59.115366666666674,0.9970982952484584,0.9993548618329092,0.9982330382423569,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_15556,40.53028106689453,39.54012866973877,45.102432,37.2906502943039,42.54342,41.70413097763061,4.2474499999999935,0.778,0.7877,0.3510999999999999,63,5,5,5,2,5,63,0.110914,34.54386,28.94316,34.54386,DB7-ddmof_15556.cif,True,58.90050000000001,0.9967355821545156,0.9989606107307982,0.9986487939500376,CH4 65 bar
CH4_65bar_298K_mmolg,DB0-m2_o29_nbo,53.997291564941406,38.902996,46.49253,36.65365463658279,44.600746,40.974448081970216,4.090354068208498,0.6907333333333333,0.6933666666666667,0.4866166666666667,65,5,5,5,2,5,65,0.0805221,49.38113,33.67194,48.91989,DB0-m2_o29_nbo.cif,True,58.64921666666667,0.9963728690605732,0.9999820794953586,0.9984480842980539,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_21381,43.20873641967773,39.226648394419655,44.92891582489014,37.16588548753434,42.59230027770996,41.61607651329041,4.133156465145646,0.7621166666666667,0.7499833333333333,0.475225,62,5,5,5,2,5,62,0.110091,31.91931,28.34241,31.86583,DB7-ddmof_21381.cif,True,58.572125,0.9960101559666305,0.9994946417691122,0.9985699437296154,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_22779,44.92626190185547,38.959385,45.34748690795898,36.61568868446351,43.07033647155762,41.31906228293045,4.179045662254666,0.6847,0.7063166666666667,0.4344833333333333,71,5,5,4,2,5,71,0.106529,32.13962,27.94806,32.07841,DB7-ddmof_22779.cif,True,58.07471666666667,0.9956474428726876,0.9996845991183112,0.9984624207017669,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_19842,41.16096496582031,38.63387470626832,44.512604,36.45051906417847,41.688625,41.01375088994448,4.2461064376831,0.6562583333333334,0.6389666666666667,0.3546666666666667,64,5,5,5,2,5,64,0.122812,27.95326,24.33047,27.93685,DB7-ddmof_19842.cif,True,57.88266666666667,0.995284729778745,0.9991469839790689,0.9983584817748468,CH4 65 bar
CH4_65bar_298K_mmolg,DB7-ddmof_21730,41.93931579589844,38.60326765441894,44.483234,36.18368,42.86049,40.767689651489256,4.191735549926754,0.5960166666666666,0.6309666666666667,0.3996499999999999,65,5,5,5,2,5,65,0.121731,35.7532,28.13239,35.7532,DB7-ddmof_21730.cif,True,57.67971666666666,0.9949220166848024,0.9993082685208415,0.9983333930683488,CH4 65 bar
