target,feature_set,split,model,budget,top_frac,rmse_mean,rmse_ci_low,rmse_ci_high,mae_mean,mae_ci_low,mae_ci_high,r2_mean,r2_ci_low,r2_ci_high,spearman_mean,spearman_ci_low,spearman_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,jaccard_mean,jaccard_ci_low,jaccard_ci_high,enrichment_mean,enrichment_ci_low,enrichment_ci_high,ndcg_mean,ndcg_ci_low,ndcg_ci_high,split_coverage_mean,split_coverage_ci_low,split_coverage_ci_high,split_mean_width_mean,split_mean_width_ci_low,split_mean_width_ci_high,split_median_width_mean,split_median_width_ci_low,split_median_width_ci_high,local_coverage_mean,local_coverage_ci_low,local_coverage_ci_high,local_mean_width_mean,local_mean_width_ci_low,local_mean_width_ci_high,mondrian_coverage_mean,mondrian_coverage_ci_low,mondrian_coverage_ci_high,mondrian_mean_width_mean,mondrian_mean_width_ci_low,mondrian_mean_width_ci_high,trusted_count_mean,trusted_count_ci_low,trusted_count_ci_high,uncertain_count_mean,uncertain_count_ci_low,uncertain_count_ci_high,rejected_count_mean,rejected_count_ci_low,rejected_count_ci_high,fit_seconds_mean,fit_seconds_ci_low,fit_seconds_ci_high,n_runs
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,0.05,1.0254808864889953,0.989121539646853,1.0789314195556128,0.7822082760155715,0.7550995680140906,0.8193399263552437,0.4623874782713563,0.4060066946234744,0.4949153153349122,0.6974350034985958,0.6742062843101309,0.7106150420547932,0.2312211735222168,0.194265842881486,0.2636738553080888,0.2312211735222168,0.194265842881486,0.2636738553080888,0.1313394277154443,0.1080452086124674,0.151908222210045,4.624423470444339,3.8853168576297215,5.273477106161776,0.7603811539161,0.7350601672037762,0.7790115364746217,0.9065555719870249,0.8974633327756629,0.9166837046675618,3.469201683044434,3.319299963569641,3.623150184440613,3.469201683044433,3.319299963569641,3.623150184440613,0.9135055506880636,0.8958951949451339,0.9296292886584412,3.458671355787245,3.299813332572363,3.63292314908602,0.9065555719870249,0.8974633327756629,0.9166837046675618,3.469201683044434,3.319299963569641,3.623150184440613,3432.2,2739.8,4140.2,19827.6,17817.0,21796.665,23255.2,21672.2,24946.4,1.437267541885376,1.2231826782226562,1.664712381362915,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,0.1,1.0254808864889953,0.989121539646853,1.0789314195556128,0.7822082760155715,0.7550995680140906,0.8193399263552437,0.4623874782713563,0.4060066946234744,0.4949153153349122,0.6974350034985958,0.6742062843101309,0.7106150420547932,0.3508415773561459,0.3071453213685879,0.3879352443392783,0.3508415773561459,0.3071453213685879,0.3879352443392783,0.2136455994499158,0.1821891870158893,0.2406823593304849,3.5084157735614587,3.07145321368588,3.879352443392784,0.797213085509491,0.7734395642707532,0.8138792589908785,0.9065555719870249,0.8974633327756629,0.9166837046675618,3.469201683044434,3.319299963569641,3.623150184440613,3.469201683044433,3.319299963569641,3.623150184440613,0.9135055506880636,0.8958951949451339,0.9296292886584412,3.458671355787245,3.299813332572363,3.63292314908602,0.9065555719870249,0.8974633327756629,0.9166837046675618,3.469201683044434,3.319299963569641,3.623150184440613,3432.2,2739.8,4140.2,19827.6,17817.0,21796.665,23255.2,21672.2,24946.4,1.437267541885376,1.2231826782226562,1.664712381362915,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,200,0.01,0.9953631310607112,0.9774650805356389,1.015909705321926,0.7593227343217989,0.7409908177614491,0.7783822164463051,0.494366388548691,0.4748700532586338,0.5143073972640406,0.7186456747451015,0.7080249645387197,0.7316813035542168,0.1148765113425749,0.0970822127237456,0.1312390278809604,0.1148765113425749,0.0970822127237456,0.1312390278809604,0.0610641092907182,0.0510758312069919,0.0702375763177752,11.487651134257495,9.70822127237457,13.123902788096045,0.7422090944556945,0.7310582390927485,0.754492125757667,0.9099412210889632,0.899112188372706,0.9207846023028796,3.428878095436095,3.281919142270087,3.565752372632027,3.428878095436096,3.281919142270087,3.565752372632027,0.917427774758712,0.9018701123892926,0.93297946489323,3.410931457824345,3.2249698813784025,3.5969759228855667,0.9099412210889632,0.899112188372706,0.9207846023028796,3.428878095436095,3.281919142270087,3.565752372632027,4039.2,3107.8,4677.8,19218.6,17493.0,21193.6,23257.2,21674.2,24948.4,1.6423141479492187,1.392391583919525,1.906409311294556,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,200,0.05,0.9953631310607112,0.9774650805356389,1.015909705321926,0.7593227343217989,0.7409908177614491,0.7783822164463051,0.494366388548691,0.4748700532586338,0.5143073972640406,0.7186456747451015,0.7080249645387197,0.7316813035542168,0.2868676679284714,0.2771236514794539,0.2988577728081899,0.2868676679284714,0.2771236514794539,0.2988577728081899,0.1675204544187202,0.1608817295359842,0.1757220083182157,5.737353358569429,5.542473029589079,5.9771554561638,0.7892112438107033,0.7866103550177618,0.7920638029129596,0.9099412210889632,0.899112188372706,0.9207846023028796,3.428878095436095,3.281919142270087,3.565752372632027,3.428878095436096,3.281919142270087,3.565752372632027,0.917427774758712,0.9018701123892926,0.93297946489323,3.410931457824345,3.2249698813784025,3.5969759228855667,0.9099412210889632,0.899112188372706,0.9207846023028796,3.428878095436095,3.281919142270087,3.565752372632027,4039.2,3107.8,4677.8,19218.6,17493.0,21193.6,23257.2,21674.2,24948.4,1.6423141479492187,1.392391583919525,1.906409311294556,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,200,0.1,0.9953631310607112,0.9774650805356389,1.015909705321926,0.7593227343217989,0.7409908177614491,0.7783822164463051,0.494366388548691,0.4748700532586338,0.5143073972640406,0.7186456747451015,0.7080249645387197,0.7316813035542168,0.3831025763812585,0.3640007705410377,0.3997371549183804,0.3831025763812585,0.3640007705410377,0.3997371549183804,0.2371364577128393,0.2226214723097435,0.2498119717936581,3.8310257638125855,3.640007705410377,3.997371549183805,0.8114506018421977,0.8031313897704392,0.8189577738126741,0.9099412210889632,0.899112188372706,0.9207846023028796,3.428878095436095,3.281919142270087,3.565752372632027,3.428878095436096,3.281919142270087,3.565752372632027,0.917427774758712,0.9018701123892926,0.93297946489323,3.410931457824345,3.2249698813784025,3.5969759228855667,0.9099412210889632,0.899112188372706,0.9207846023028796,3.428878095436095,3.281919142270087,3.565752372632027,4039.2,3107.8,4677.8,19218.6,17493.0,21193.6,23257.2,21674.2,24948.4,1.6423141479492187,1.392391583919525,1.906409311294556,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,500,0.01,0.9330371942115232,0.921510848524264,0.9455340243449608,0.7081300140276,0.6980596073540123,0.7194947083416775,0.5557912293450646,0.5459880088518809,0.5692253477476862,0.7526203716930188,0.7468497325198614,0.7601777566993853,0.14096686657617,0.1122113046860577,0.1712204215868453,0.14096686657617,0.1122113046860577,0.1712204215868453,0.0762160866049866,0.0596310497314421,0.0940022388870106,14.096686657617004,11.221130468605775,17.122042158684533,0.7448929656450209,0.723768727262297,0.7664557629543595,0.908991021760646,0.8971483713342632,0.9208523046961276,3.210394344711304,3.066477471542359,3.3781357225418085,3.210394344711304,3.0664774715423584,3.378135722541809,0.915625760633733,0.8961916489554801,0.9350574444165556,3.187828522721685,2.9807270591604955,3.418231131562756,0.908991021760646,0.8971483713342632,0.9208523046961276,3.210394344711304,3.066477471542359,3.3781357225418085,4156.2,3045.6,4882.0,19101.6,18100.905,20061.4,23257.2,21674.2,24948.4,1.9962406635284424,1.6807755291461943,2.334668779373169,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,500,0.05,0.9330371942115232,0.921510848524264,0.9455340243449608,0.7081300140276,0.6980596073540123,0.7194947083416775,0.5557912293450646,0.5459880088518809,0.5692253477476862,0.7526203716930188,0.7468497325198614,0.7601777566993853,0.2918319079996906,0.2770698280166653,0.3126768846907859,0.2918319079996906,0.2770698280166653,0.3126768846907859,0.1710194593947123,0.160883371334191,0.1854193071645378,5.836638159993813,5.541396560333308,6.253537693815719,0.7973791806429711,0.7857063219192169,0.8091377396977547,0.908991021760646,0.8971483713342632,0.9208523046961276,3.210394344711304,3.066477471542359,3.3781357225418085,3.210394344711304,3.0664774715423584,3.378135722541809,0.915625760633733,0.8961916489554801,0.9350574444165556,3.187828522721685,2.9807270591604955,3.418231131562756,0.908991021760646,0.8971483713342632,0.9208523046961276,3.210394344711304,3.066477471542359,3.3781357225418085,4156.2,3045.6,4882.0,19101.6,18100.905,20061.4,23257.2,21674.2,24948.4,1.9962406635284424,1.6807755291461943,2.334668779373169,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,500,0.1,0.9330371942115232,0.921510848524264,0.9455340243449608,0.7081300140276,0.6980596073540123,0.7194947083416775,0.5557912293450646,0.5459880088518809,0.5692253477476862,0.7526203716930188,0.7468497325198614,0.7601777566993853,0.4129053132949806,0.4009445904605759,0.4269948876302679,0.4129053132949806,0.4009445904605759,0.4269948876302679,0.2603056063740085,0.2509554783340102,0.2715312054695383,4.129053132949806,4.00944590460576,4.269948876302679,0.8296548642254755,0.8197388080511127,0.8395596777782259,0.908991021760646,0.8971483713342632,0.9208523046961276,3.210394344711304,3.066477471542359,3.3781357225418085,3.210394344711304,3.0664774715423584,3.378135722541809,0.915625760633733,0.8961916489554801,0.9350574444165556,3.187828522721685,2.9807270591604955,3.418231131562756,0.908991021760646,0.8971483713342632,0.9208523046961276,3.210394344711304,3.066477471542359,3.3781357225418085,4156.2,3045.6,4882.0,19101.6,18100.905,20061.4,23257.2,21674.2,24948.4,1.9962406635284424,1.6807755291461943,2.334668779373169,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,1000,0.01,0.8951729461282236,0.8887307050731975,0.9022646443146451,0.6728664493181891,0.6649927750527294,0.6810880524982368,0.5912047151365616,0.584124462532342,0.5982615824576929,0.773140008680919,0.7678954860687347,0.7783815429918308,0.2218082295314347,0.1929925651287146,0.2509460738982345,0.2218082295314347,0.1929925651287146,0.2509460738982345,0.1252264899914266,0.1074709898033757,0.143615612216399,22.180822953143476,19.29925651287147,25.09460738982345,0.7901249920354692,0.7771844474193081,0.8059019972825396,0.9089013063843394,0.8986356876548358,0.9193266203164812,3.0615650578498843,2.9409929651665694,3.178098608705997,3.0615650578498843,2.9409929651665694,3.178098608705997,0.9211421788914926,0.9044908323929588,0.9378036063940935,3.1395888418532016,2.952344811746463,3.3206870226866334,0.9089013063843394,0.8986356876548358,0.9193266203164812,3.0615650578498843,2.9409929651665694,3.178098608705997,4564.6,4248.0,4910.8,18693.2,17408.6,20038.4,23257.2,21674.2,24948.4,2.4012317180633547,2.009281587600708,2.81543869972229,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,1000,0.05,0.8951729461282236,0.8887307050731975,0.9022646443146451,0.6728664493181891,0.6649927750527294,0.6810880524982368,0.5912047151365616,0.584124462532342,0.5982615824576929,0.773140008680919,0.7678954860687347,0.7783815429918308,0.3534370607014486,0.3412303777153095,0.3641450639007147,0.3534370607014486,0.3412303777153095,0.3641450639007147,0.214741749036675,0.2058544407563715,0.2226271175871843,7.068741214028971,6.824607554306191,7.282901278014296,0.8287146953846044,0.8225923971653375,0.8354282795432514,0.9089013063843394,0.8986356876548358,0.9193266203164812,3.0615650578498843,2.9409929651665694,3.178098608705997,3.0615650578498843,2.9409929651665694,3.178098608705997,0.9211421788914926,0.9044908323929588,0.9378036063940935,3.1395888418532016,2.952344811746463,3.3206870226866334,0.9089013063843394,0.8986356876548358,0.9193266203164812,3.0615650578498843,2.9409929651665694,3.178098608705997,4564.6,4248.0,4910.8,18693.2,17408.6,20038.4,23257.2,21674.2,24948.4,2.4012317180633547,2.009281587600708,2.81543869972229,5
