target,target_label_plain,mof_id,filename,consensus_score,y_true_median,y_pred_median,split_lower_median,split_upper_median,true_percentile,pred_percentile,n_models,n_seeds,n_splits,n_budgets,trusted_support,y_pred_max,split_lower_max,interval_width_median,target_lower_bound_percentile_median,target_pred_percentile_median,target_interval_width_percentile_small_median,n_support_rows,n_feature_sets,Density,Di,Df,Dif,consensus_pass,consensus_score_percentile_within_target
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o153_o156_f0_fsc.sym.28,DB0-m3_o153_o156_f0_fsc.sym.28.cif,49.592533333333336,7.864270210266113,7.6114482,6.2681217331069705,8.853648546987202,0.9934124224938174,0.9896419483172646,5,5,4,3,42,8.146469,6.983833,2.4520863347335378,0.5415166666666666,0.7046333333333333,0.3511333333333333,42,2,0.856308,6.73704,5.22621,6.28763,True,0.9965646981841976
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o1530_o156_f0_fsc.sym.95,DB0-m3_o1530_o156_f0_fsc.sym.95.cif,49.47548333333334,8.192103385925293,7.5407468,6.39469555065766,8.7459435,0.9967528045589764,0.9882692376617326,5,4,5,3,32,8.2919445,7.2442503,2.37272915,0.7174833333333334,0.6157333333333334,0.50415,32,1,0.830605,7.24884,5.27109,7.22459,True,0.9964011123834452
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o520_o156_f0_fsc.sym.5,DB0-m3_o520_o156_f0_fsc.sym.5.cif,49.4714,9.115152359008787,7.602872127951397,6.3547599499719,8.769087,0.999605748897889,0.989495000179205,5,5,5,3,29,8.411343073390944,7.188963119317602,2.3977906945236134,0.6705333333333333,0.6946333333333333,0.4678666666666666,29,1,0.790608,6.48925,4.70669,6.48273,True,0.9962375265826926
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o152_o156_f0_fsc.sym.81,DB0-m3_o152_o156_f0_fsc.sym.81.cif,49.39963333333333,7.8900980949401855,7.559711055755615,6.40767783488656,8.698874174355518,0.9937529120820042,0.9887280025805527,5,4,5,3,31,7.92228105043736,6.87558917240459,2.3624135000000006,0.7323666666666667,0.6426,0.5055000000000001,31,1,0.823211,7.13901,5.2239,7.12424,True,0.99607394078194
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_22845,DB7-ddmof_22845.cif,65.10745,45.76158142089844,39.23882105255127,37.038586,41.402473,0.9997634493387334,0.998577111931472,5,5,5,6,89,45.77853722381592,43.061732307434085,4.189877949670645,0.74415,0.7515,0.40125,89,2,0.104048,32.2817,29.46618,32.2817,True,1.0
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_23735,DB7-ddmof_23735.cif,64.31450833333334,46.59375,38.6934545,36.37185695861817,40.99748726982608,0.9998207949535859,0.9983835704813447,5,5,5,5,90,45.65118071746826,42.93437580108643,4.227466019092521,0.6418083333333333,0.6539166666666667,0.3722083333333333,90,2,0.0981103,29.57304,27.44217,29.06963,True,0.9996372869060574
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_23766,DB7-ddmof_23766.cif,63.97840833333333,47.76900863647461,38.862103000000005,36.44088757847841,41.27457145928955,0.9998745564675101,0.9984337478943407,5,5,5,5,88,47.255867,44.696854,4.228165141026938,0.6544666666666668,0.685575,0.371525,88,2,0.0961569,32.10255,28.5944,32.10255,True,0.9992745738121146
CH4_65bar_298K_mmolg,CH4 65 bar,DB0-m2_o29_frl,DB0-m2_o29_frl.cif,62.63271666666666,50.738914489746094,38.605548,36.23140660377732,40.7865085,0.999949822587004,0.998336977169277,5,5,6,5,76,43.099335,41.45638,4.076763021965828,0.6076833333333334,0.6347,0.50185,76,2,0.0878531,41.09475,38.992,41.09475,True,0.998911860718172
CH4_65bar_298K_mmolg,CH4 65 bar,DB0-m3_o29_nbo,DB0-m3_o29_nbo.cif,62.44752499999999,52.52501678466797,38.95787112688817,36.72811369919777,41.247191334950976,0.999974911293502,0.9984588366008387,5,5,5,5,80,48.25537,46.08603,4.187827289456845,0.7032166666666666,0.7050166666666666,0.4117583333333333,80,2,0.0836119,47.49601,31.87251,47.48447,True,0.9985491476242292
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_19730,DB7-ddmof_19730.cif,61.17693333333334,42.392616271972656,38.60103433526612,36.29197969623947,40.83568105416359,0.9993727823375507,0.9983333930683488,5,5,5,6,78,44.80762,42.84159,4.167208323242189,0.6217666666666667,0.6309333333333333,0.4409333333333333,78,2,0.116374,29.91201,25.37008,29.91201,True,0.9981864345302864
CH4_65bar_298K_mmolg,CH4 65 bar,DB7-ddmof_17603,DB7-ddmof_17603.cif,60.9376,49.56386947631836,38.927824029142606,36.847229074987794,41.07812324056287,0.9999354861832909,0.9984516683989821,5,5,6,6,66,45.7498,43.858017,4.349114,0.7186416666666666,0.6984833333333333,0.2915,66,2,0.093441,39.06912,34.03,38.98313,True,0.997823721436344
