target,bin_index,bin_left,bin_right,bin_center,count,p95_threshold
CO2_0p150bar_298K_mmolg,12,2.5522243340810142,2.784244728088379,2.6682345310846967,4709,3.26669065952301
CO2_0p150bar_298K_mmolg,13,2.784244728088379,3.016265122095744,2.9002549250920615,4034,3.26669065952301
CO2_0p150bar_298K_mmolg,14,3.016265122095744,3.2482855161031092,3.132275319099427,3436,3.26669065952301
CO2_0p150bar_298K_mmolg,15,3.2482855161031092,3.480305910110474,3.3642957131067917,2859,3.26669065952301
CO2_0p150bar_298K_mmolg,16,3.480305910110474,3.712326304117839,3.5963161071141565,2479,3.26669065952301
CO2_0p150bar_298K_mmolg,17,3.712326304117839,3.9443466981252038,3.8283365011215214,2047,3.26669065952301
CO2_0p150bar_298K_mmolg,18,3.9443466981252038,4.176367092132569,4.060356895128886,1600,3.26669065952301
CO2_0p150bar_298K_mmolg,19,4.176367092132569,4.408387486139934,4.292377289136251,1361,3.26669065952301
CO2_0p150bar_298K_mmolg,20,4.408387486139934,4.640407880147299,4.524397683143617,979,3.26669065952301
CO2_0p150bar_298K_mmolg,21,4.640407880147299,4.872428274154664,4.756418077150981,745,3.26669065952301
CO2_0p150bar_298K_mmolg,22,4.872428274154664,5.1044486681620285,4.9884384711583465,476,3.26669065952301
CO2_0p150bar_298K_mmolg,23,5.1044486681620285,5.336469062169393,5.2204588651657104,386,3.26669065952301
CO2_0p150bar_298K_mmolg,24,5.336469062169393,5.568489456176758,5.452479259173076,278,3.26669065952301
CO2_0p150bar_298K_mmolg,25,5.568489456176758,5.800509850184123,5.68449965318044,221,3.26669065952301
CO2_0p150bar_298K_mmolg,26,5.800509850184123,6.032530244191488,5.916520047187806,173,3.26669065952301
CO2_0p150bar_298K_mmolg,27,6.032530244191488,6.264550638198854,6.148540441195171,105,3.26669065952301
CO2_0p150bar_298K_mmolg,28,6.264550638198854,6.4965710322062185,6.380560835202536,75,3.26669065952301
CO2_0p150bar_298K_mmolg,29,6.4965710322062185,6.728591426213583,6.612581229209901,86,3.26669065952301
CO2_0p150bar_298K_mmolg,30,6.728591426213583,6.960611820220948,6.844601623217265,60,3.26669065952301
CO2_0p150bar_298K_mmolg,31,6.960611820220948,7.192632214228313,7.076622017224631,59,3.26669065952301
CO2_0p150bar_298K_mmolg,32,7.192632214228313,7.424652608235678,7.308642411231995,46,3.26669065952301
CO2_0p150bar_298K_mmolg,33,7.424652608235678,7.656673002243043,7.540662805239361,26,3.26669065952301
CO2_0p150bar_298K_mmolg,34,7.656673002243043,7.8886933962504076,7.772683199246725,19,3.26669065952301
CO2_0p150bar_298K_mmolg,35,7.8886933962504076,8.120713790257772,8.00470359325409,20,3.26669065952301
CO2_0p150bar_298K_mmolg,36,8.120713790257772,8.352734184265138,8.236723987261456,11,3.26669065952301
